station,name,state,lat,lon,date,tl_i,tl_ii,tl_iii,tlmax,tlmin,rr,rr_i,rr_iii,so_h,so_h_flag
1,Aflenz,Steiermark,47.54594,15.24069,2025-07-10,11.4,17.0,11.6,17.4,10.7,,,,1.4,10
2,Aigen im Ennstal,Steiermark,47.53278,14.13826,2025-07-10,12.1,14.7,15.4,17.0,11.2,8.0,0.7,0.4,0.8,10
3,Allentsteig,Niederösterreich,48.69083,15.36694,2025-07-10,13.4,17.0,14.2,18.9,11.1,6.1,0.2,3.4,5.3,10
4,Amstetten,Niederösterreich,48.10889,14.895,2025-07-10,15.7,20.6,14.9,22.3,14.5,8.8,0.1,8.2,1.9,10
5,Bad Aussee,Steiermark,47.6105,13.75844,2025-07-10,10.8,13.4,12.5,15.5,10.3,20.3,7.0,6.1,0.1,10
6,Bad Bleiberg,Kärnten,46.62528,13.68444,2025-07-10,14.1,17.3,16.8,19.5,7.5,-1.0,-1.0,-1.0,5.6,10
7,Bad Gastein,Salzburg,47.11056,13.13336,2025-07-10,9.3,14.5,11.9,16.1,8.1,1.3,0.6,-1.0,0.7,0
8,Bad Gleichenberg,Steiermark,46.87222,15.90361,2025-07-10,19.2,23.0,20.1,24.2,10.0,-1.0,-1.0,-1.0,8.3,10
9,Bad Goisern,Oberösterreich,47.62194,13.64472,2025-07-10,11.7,15.0,13.6,16.3,11.3,7.8,1.6,3.9,0.4,10
10,Bad Mitterndorf,Steiermark,47.55333,13.93472,2025-07-10,10.4,12.8,12.7,14.7,9.9,13.6,6.7,2.6,0.5,10
11,Bad Radkersburg,Steiermark,46.69222,15.99333,2025-07-10,17.3,24.5,20.4,25.3,12.6,-1.0,-1.0,-1.0,8.2,10
13,Bernstein,Burgenland,47.40833,16.26139,2025-07-10,15.8,17.3,15.9,19.0,12.9,-1.0,-1.0,-1.0,5.0,10
14,Bischofshofen,Salzburg,47.40667,13.22111,2025-07-10,12.5,17.0,15.3,17.8,11.4,5.1,0.2,0.4,0.5,10
15,Bregenz,Vorarlberg,47.49917,9.74611,2025-07-10,12.7,22.7,21.9,24.0,10.0,-1.0,-1.0,-1.0,13.3,10
16,Brenner,Tirol,47.00722,11.51083,2025-07-10,7.3,14.8,12.9,15.6,5.8,-1.0,-1.0,-1.0,2.7,10
17,Bruck an der Mur,Steiermark,47.40556,15.24972,2025-07-10,16.4,21.2,17.7,21.6,14.8,0.1,0.0,0.0,0.9,10
18,Bruckneudorf,Burgenland,48.01278,16.845,2025-07-10,18.0,18.3,18.8,22.1,15.3,1.3,-1.0,1.3,7.5,10
19,Dellach,Kärnten,46.74189,13.08286,2025-07-10,11.3,21.4,18.0,23.1,8.6,-1.0,-1.0,-1.0,3.6,10
20,Ehrwald,Tirol,47.40417,10.92,2025-07-10,8.4,17.8,16.5,18.3,5.8,-1.0,-1.0,-1.0,1.2,10
21,Bad Eisenkappel,Kärnten,46.49056,14.59333,2025-07-10,12.7,20.2,18.0,21.0,8.7,0.9,-1.0,-1.0,2.6,10
22,Eisenstadt Nordost,Burgenland,47.85417,16.53833,2025-07-10,17.2,18.6,17.3,20.4,16.0,9.5,-1.0,9.5,4.1,10
23,Enns,Oberösterreich,48.19583,14.45028,2025-07-10,13.6,18.8,14.3,19.5,13.6,10.9,0.0,6.2,1.3,10
24,Feldkirch,Vorarlberg,47.27111,9.60972,2025-07-10,13.0,23.6,21.3,24.7,10.3,-1.0,-1.0,-1.0,13.9,10
25,Fischbach,Steiermark,47.44417,15.64389,2025-07-10,12.1,13.1,10.9,15.1,10.5,2.8,-1.0,2.8,0.8,10
26,Freistadt,Oberösterreich,48.49472,14.50639,2025-07-10,13.6,20.9,13.5,21.3,11.8,,0.3,5.0,2.1,0
27,Gallspach,Oberösterreich,48.20422,13.825,2025-07-10,12.9,16.3,17.1,20.6,12.5,2.0,0.7,2.0,1.9,10
28,Galtür,Tirol,46.96806,10.18556,2025-07-10,6.2,15.6,12.3,16.5,0.7,-1.0,-1.0,-1.0,10.3,10
30,Graz Universität/Heinrichstraße,Steiermark,47.08,15.448056,2025-07-10,16.2,21.7,18.7,22.4,11.3,1.5,-1.0,-1.0,,10
31,Groß-Enzersdorf,Niederösterreich,48.19975,16.55917,2025-07-10,18.0,17.5,18.6,21.1,16.5,6.2,-1.0,6.2,3.6,10
32,Gumpoldskirchen,Niederösterreich,48.03583,16.28083,2025-07-10,16.5,19.2,16.9,20.7,15.5,3.3,-1.0,3.3,2.2,10
36,Hohe Wand/Hochkogelhaus,Niederösterreich,47.82222,16.035,2025-07-10,11.2,12.3,11.8,14.3,10.7,4.5,-1.0,1.2,2.7,10
37,Schöngrabern,Niederösterreich,48.60333,16.06167,2025-07-10,15.7,21.7,17.5,22.8,12.9,0.2,-1.0,0.0,2.8,10
38,Imst,Tirol,47.23694,10.74222,2025-07-10,10.4,22.1,19.7,23.2,7.7,-1.0,-1.0,-1.0,7.1,10
39,Innsbruck Universität,Tirol,47.25986,11.38425,2025-07-10,11.9,22.8,20.1,23.2,11.4,-1.0,-1.0,-1.0,3.5,10
40,Irdning-Gumpenstein,Steiermark,47.495,14.09967,2025-07-10,11.4,14.0,13.8,16.1,10.7,7.3,1.7,0.8,0.5,10
42,Jenbach,Tirol,47.38878,11.75814,2025-07-10,12.8,19.8,19.3,22.3,11.6,-1.0,0.1,-1.0,3.7,10
43,Kals,Tirol,47.00478,12.6465,2025-07-10,11.2,15.2,12.2,16.6,6.6,1.9,0.0,-1.0,4.5,10
44,Kalwang,Steiermark,47.42126,14.75961,2025-07-10,12.0,17.3,13.6,18.1,10.8,4.4,1.0,0.8,1.8,10
46,Krems,Niederösterreich,48.41861,15.62222,2025-07-10,18.0,20.4,16.6,23.0,14.8,8.9,-1.0,8.1,2.1,10
47,Krimml,Salzburg,47.22911,12.18197,2025-07-10,9.6,16.7,14.2,18.4,8.7,,0.1,0.1,1.2,0
48,Klagenfurt Flughafen,Kärnten,46.64833,14.31833,2025-07-10,13.7,22.3,20.7,23.3,12.5,0.0,-1.0,-1.0,3.1,10
49,Kleinzicken,Burgenland,47.2075,16.326667,2025-07-10,17.7,21.1,17.8,22.9,8.4,-1.0,-1.0,-1.0,6.2,10
50,Landeck,Tirol,47.14025,10.56364,2025-07-10,10.5,20.9,17.9,22.0,8.2,-1.0,-1.0,-1.0,7.1,10
51,Langenlebarn,Niederösterreich,48.32389,16.11806,2025-07-10,16.9,22.2,16.5,22.7,14.9,1.1,-1.0,0.8,1.5,10
52,Langenlois,Niederösterreich,48.4725,15.69722,2025-07-10,17.4,21.1,17.1,22.3,15.4,0.7,-1.0,0.5,2.1,10
53,Laßnitzhöhe,Steiermark,47.07361,15.59222,2025-07-10,17.7,20.8,17.4,21.8,12.6,1.0,-1.0,-1.0,7.2,10
54,Leibnitz-Wagna,Steiermark,46.76739,15.55289,2025-07-10,18.6,23.5,20.0,24.6,11.6,1.0,-1.0,-1.0,9.0,10
55,Lienz,Tirol,46.82555,12.80639,2025-07-10,12.6,20.5,19.6,22.6,10.9,0.0,-1.0,-1.0,2.3,10
56,Linz Stadt,Oberösterreich,48.29639,14.28528,2025-07-10,14.4,20.0,15.6,20.8,14.3,9.5,0.2,5.3,1.5,10
57,Litschau,Niederösterreich,48.95464,15.03831,2025-07-10,12.8,16.0,16.1,19.4,11.6,18.2,0.5,5.2,2.6,10
58,Lutzmannsburg,Burgenland,47.46528,16.64556,2025-07-10,18.3,19.2,18.6,21.8,14.4,0.8,-1.0,0.8,3.6,10
59,Mariazell/St.Sebastian Flugfeld,Steiermark,47.78917,15.30222,2025-07-10,11.8,12.9,11.2,16.4,11.2,5.7,0.0,3.5,1.4,10
60,Mattsee,Salzburg,47.97722,13.10556,2025-07-10,14.3,16.5,16.7,18.2,12.6,2.6,1.5,1.9,2.0,10
61,Mayrhofen,Tirol,47.1625,11.85139,2025-07-10,11.7,21.7,18.0,21.7,10.8,-1.0,-1.0,-1.0,2.0,10
62,Millstatt,Kärnten,46.80806,13.57278,2025-07-10,13.0,20.4,18.2,21.1,9.1,-1.0,-1.0,-1.0,2.7,10
63,Mönichkirchen,Niederösterreich,47.51111,16.03333,2025-07-10,12.9,14.8,11.7,15.4,11.2,1.6,-1.0,1.4,3.2,10
64,Neumarkt,Steiermark,47.06972,14.42472,2025-07-10,12.1,16.7,14.9,17.8,10.3,1.0,-1.0,-1.0,1.2,10
65,Neusiedl am See,Burgenland,47.94917,16.82889,2025-07-10,18.5,17.1,19.4,21.8,15.6,2.0,-1.0,2.0,8.0,10
66,Obergurgl,Tirol,46.86694,11.02444,2025-07-10,4.2,12.8,10.1,14.1,1.6,-1.0,-1.0,-1.0,9.5,10
67,Leiser Berge,Niederösterreich,48.55889,16.37167,2025-07-10,14.1,17.7,17.3,20.5,11.8,0.2,-1.0,0.2,5.1,10
68,Obertauern,Salzburg,47.24889,13.55972,2025-07-10,5.4,6.8,6.9,8.1,4.2,11.8,1.7,1.7,0.2,10
69,Obervellach,Kärnten,46.93528,13.19444,2025-07-10,12.9,19.6,18.5,20.6,12.0,,0.0,-1.0,2.1,0
70,Poysdorf-Ost,Niederösterreich,48.66917,16.6375,2025-07-10,15.8,21.4,20.3,23.5,13.7,-1.0,-1.0,-1.0,6.6,10
71,Preitenegg,Kärnten,46.938333,14.920278,2025-07-10,11.9,15.5,14.1,18.8,9.9,-1.0,-1.0,-1.0,3.4,10
72,Puchberg am Schneeberg,Niederösterreich,47.79028,15.90694,2025-07-10,14.4,16.0,15.1,18.7,14.0,5.4,0.0,1.6,2.3,10
73,Radstadt-Tandalier,Salzburg,47.38,13.44083,2025-07-10,10.7,15.4,12.5,17.7,9.6,6.0,0.8,1.6,0.7,10
75,Ranshofen Braunau,Oberösterreich,48.22417,13.02833,2025-07-10,13.8,20.0,18.1,20.5,12.6,4.1,0.4,2.9,0.9,10
76,Reutte,Tirol,47.49444,10.71528,2025-07-10,10.9,18.9,17.2,19.8,7.7,-1.0,-1.0,-1.0,7.6,10
77,Rohrbach,Oberösterreich,48.56722,14.00444,2025-07-10,12.2,17.5,16.6,,,,0.1,,,0
78,Rauris,Salzburg,47.22353,12.99262,2025-07-10,10.3,16.3,13.3,17.8,9.1,3.1,0.7,-1.0,0.5,10
80,Reichenau an der Rax,Niederösterreich,47.69972,15.83694,2025-07-10,15.4,15.4,14.9,19.2,14.5,1.8,0.2,1.4,1.6,10
81,Retz Windmühle,Niederösterreich,48.76111,15.94167,2025-07-10,15.5,18.9,18.2,21.7,13.0,0.2,-1.0,0.2,4.6,10
82,Rudolfshütte,Salzburg,47.13492,12.62594,2025-07-10,0.6,3.7,3.3,4.6,0.4,6.3,0.6,-1.0,0.0,10
83,Saalbach,Salzburg,47.38789,12.64844,2025-07-10,10.3,15.3,12.9,17.5,8.8,5.1,0.7,-1.0,0.9,10
85,Schmittenhöhe,Salzburg,47.32872,12.73794,2025-07-10,3.8,7.0,6.1,9.7,2.6,5.3,0.5,-1.0,1.2,10
86,Schöckl,Steiermark,47.19861,15.46639,2025-07-10,9.1,10.4,9.1,11.5,6.9,-1.0,-1.0,-1.0,2.6,10
87,Seefeld,Tirol,47.32478,11.17542,2025-07-10,10.3,16.4,15.1,17.2,4.5,-1.0,-1.0,-1.0,5.0,10
88,Semmering,Niederösterreich,47.63325,15.82839,2025-07-10,11.2,12.5,10.4,14.1,10.4,1.5,0.1,1.5,0.5,10
89,Stift Zwettl,Niederösterreich,48.61778,15.20361,2025-07-10,14.8,17.8,14.6,20.2,12.5,1.6,0.1,0.5,2.3,10
90,St.Andrä im Lavanttal,Kärnten,46.76417,14.82806,2025-07-10,14.8,23.1,20.2,23.7,10.7,-1.0,-1.0,-1.0,4.0,10
91,Feistritz ob Bleiburg,Kärnten,46.561389,14.765,2025-07-10,16.4,20.7,19.4,22.0,12.6,1.2,-1.0,-1.0,5.5,10
92,St.Michael im Lungau,Salzburg,47.09447,13.62269,2025-07-10,12.2,15.5,12.6,16.3,10.2,5.0,-1.0,0.2,0.9,10
93,St.Pölten Landhaus,Niederösterreich,48.19972,15.63111,2025-07-10,15.8,19.1,15.8,20.6,14.3,2.6,-1.0,1.9,2.0,10
94,St.Radegund,Steiermark,47.18211,15.48978,2025-07-10,14.6,17.5,15.8,18.3,11.3,-1.0,-1.0,-1.0,3.4,10
95,St.Veit an der Glan,Kärnten,46.73917,14.38556,2025-07-10,14.1,20.8,19.7,22.5,11.4,,-1.0,-1.0,1.8,0
97,Stolzalpe,Steiermark,47.12303,14.18822,2025-07-10,10.1,12.5,11.9,15.1,8.9,3.2,0.0,0.0,1.4,10
98,Tamsweg,Salzburg,47.13306,13.80833,2025-07-10,12.9,15.7,14.0,17.2,10.6,3.8,0.0,-1.0,0.6,10
100,Villach Stadt,Kärnten,46.61806,13.87389,2025-07-10,14.0,21.6,20.8,23.5,9.9,0.1,-1.0,-1.0,4.0,10
101,Waidhofen an der Ybbs,Niederösterreich,47.94556,14.80972,2025-07-10,13.9,17.7,14.5,19.7,13.3,9.7,0.6,3.3,1.2,10
102,Weißensee-Gatschach,Kärnten,46.71861,13.28583,2025-07-10,10.9,18.3,16.8,19.5,8.1,-1.0,-1.0,-1.0,3.4,10
103,Weitensfeld,Kärnten,46.84917,14.19083,2025-07-10,11.8,19.1,17.8,20.9,9.9,0.4,-1.0,-1.0,2.9,10
104,Weyer,Oberösterreich,47.85719,14.66572,2025-07-10,14.3,15.2,15.0,19.3,12.3,22.2,1.9,9.8,0.9,10
105,Wien Hohe Warte,Wien,48.24861,16.35639,2025-07-10,17.2,20.0,17.1,20.5,15.9,7.1,-1.0,6.8,3.3,10
106,Wien Mariabrunn,Wien,48.20694,16.22944,2025-07-10,16.6,20.7,16.4,21.2,14.7,2.9,-1.0,2.8,1.6,10
107,Wien Unterlaa,Wien,48.125,16.41944,2025-07-10,17.0,19.8,17.4,20.3,15.4,3.4,-1.0,3.4,2.6,10
108,Windischgarsten,Oberösterreich,47.72028,14.32611,2025-07-10,12.1,15.7,14.9,18.1,11.5,,6.6,2.5,0.9,0
109,St.Wolfgang,Oberösterreich,47.74028,13.44194,2025-07-10,12.8,17.9,14.3,17.9,11.8,7.5,1.8,4.5,0.2,10
111,Wolfsegg,Oberösterreich,48.10542,13.67092,2025-07-10,12.1,15.2,14.6,18.2,11.0,7.5,1.7,4.5,2.4,0
112,Wiener Neustadt Flugplatz,Niederösterreich,47.83233,16.23147,2025-07-10,18.0,19.7,18.1,21.3,15.8,0.2,-1.0,0.1,3.7,10
113,Zell am See,Salzburg,47.29,12.78639,2025-07-10,11.5,16.7,14.1,18.5,10.3,2.7,0.1,-1.0,0.8,10
115,Zeltweg,Steiermark,47.19983,14.74689,2025-07-10,13.8,19.4,17.3,21.4,12.0,-1.0,0.0,-1.0,2.4,10
116,Deutschlandsberg,Steiermark,46.82167,15.22694,2025-07-10,20.3,22.8,19.3,23.6,11.6,0.1,-1.0,-1.0,4.2,10
118,Kitzbühel,Tirol,47.44389,12.38917,2025-07-10,11.7,18.6,16.7,19.1,10.3,,1.3,-1.0,1.6,0
119,St.Anton am Arlberg,Tirol,47.13139,10.26667,2025-07-10,7.5,16.8,15.3,18.8,3.4,-1.0,-1.0,-1.0,7.1,10
120,Ferlach,Kärnten,46.53111,14.31417,2025-07-10,13.9,22.3,20.1,23.9,12.1,0.2,-1.0,-1.0,3.9,10
121,Nauders,Tirol,46.89111,10.49694,2025-07-10,6.1,17.4,14.4,18.6,2.9,-1.0,-1.0,-1.0,9.7,10
122,Kanzelhöhe,Kärnten,46.67722,13.90194,2025-07-10,9.4,11.5,11.1,14.7,6.0,0.6,-1.0,0.2,4.0,10
124,Seckau,Steiermark,47.27083,14.77861,2025-07-10,11.9,16.9,14.8,19.0,10.3,0.6,0.2,0.0,1.8,0
126,Haiming,Tirol,47.25972,10.88944,2025-07-10,12.6,20.7,20.4,22.7,8.8,-1.0,-1.0,-1.0,6.1,10
127,Rinn,Tirol,47.24917,11.50389,2025-07-10,10.9,18.3,16.8,19.8,9.5,-1.0,-1.0,-1.0,4.8,10
129,Lofer Ort,Salzburg,47.58444,12.69528,2025-07-10,12.4,17.9,15.7,18.8,10.8,2.2,0.7,-1.0,0.5,10
130,Sillian,Tirol,46.74644,12.42358,2025-07-10,10.5,18.4,17.5,19.9,5.6,-1.0,-1.0,-1.0,4.2,10
131,Salzburg Flughafen,Salzburg,47.78944,13.00861,2025-07-10,13.1,15.2,15.8,17.0,12.4,6.1,1.6,4.5,0.2,10
132,Bad Ischl,Oberösterreich,47.70619,13.64714,2025-07-10,12.1,15.5,13.7,16.7,11.5,10.9,3.4,4.3,0.7,10
133,Fraxern,Vorarlberg,47.31417,9.67444,2025-07-10,11.8,21.1,19.1,21.9,9.0,-1.0,-1.0,-1.0,13.6,10
134,Gänserndorf Stadt,Niederösterreich,48.33778,16.71361,2025-07-10,16.6,21.1,19.8,23.2,14.6,-1.0,-1.0,-1.0,3.7,10
136,Umhausen,Tirol,47.13917,10.92889,2025-07-10,9.5,19.6,17.2,20.6,7.2,-1.0,-1.0,-1.0,6.2,10
137,Döllach,Kärnten,46.95806,12.9025,2025-07-10,12.5,18.1,15.4,18.3,9.7,0.6,-1.0,-1.0,1.3,10
138,Prutz,Tirol,47.06861,10.66472,2025-07-10,7.7,20.4,17.7,22.2,6.6,0.0,-1.0,0.0,8.7,10
139,Steinach am Brenner,Tirol,47.09833,11.46611,2025-07-10,9.4,18.6,16.1,19.6,8.1,-1.0,-1.0,-1.0,3.9,10
140,Bad Tatzmannsdorf,Burgenland,47.328056,16.228056,2025-07-10,18.9,20.4,17.5,21.9,8.3,-1.0,-1.0,-1.0,6.2,10
141,Ried im Innkreis,Oberösterreich,48.21722,13.475,2025-07-10,13.7,14.0,16.6,19.7,12.8,13.5,1.1,11.0,1.8,10
142,Kufstein,Tirol,47.57528,12.16278,2025-07-10,13.0,20.7,19.0,21.8,11.9,0.7,1.8,0.0,3.2,10
144,Micheldorf,Oberösterreich,47.88388,14.117222,2025-07-10,13.0,17.3,16.6,19.0,12.4,2.2,1.3,1.0,1.1,10
145,Salzburg Freisaal,Salzburg,47.79111,13.05417,2025-07-10,13.0,15.4,15.5,16.9,12.1,3.4,1.6,3.2,0.0,10
146,Holzgau,Tirol,47.25758,10.33867,2025-07-10,7.9,18.2,15.8,18.7,4.3,-1.0,-1.0,-1.0,8.3,10
147,Gröbming,Steiermark,47.44678,13.90422,2025-07-10,10.9,16.0,12.9,16.8,10.1,15.4,3.0,1.8,0.2,10
148,Weitra,Niederösterreich,48.70222,14.89861,2025-07-10,14.6,17.6,16.6,20.2,12.8,0.2,0.2,0.0,2.1,10
149,Mallnitz,Kärnten,46.99194,13.16667,2025-07-10,11.9,14.9,12.6,15.2,10.0,3.4,0.0,0.0,0.4,10
150,Spittal an der Drau,Kärnten,46.7905,13.48725,2025-07-10,11.4,20.4,19.5,21.9,8.3,-1.0,-1.0,-1.0,3.2,10
151,Achenkirch,Tirol,47.49944,11.70667,2025-07-10,10.8,17.0,16.2,19.3,9.0,-1.0,-1.0,-1.0,3.4,10
152,Laa an der Thaya Kläranlage,Niederösterreich,48.73139,16.38972,2025-07-10,17.0,21.6,20.2,22.8,14.0,0.8,-1.0,0.6,4.5,10
153,Präbichl,Steiermark,47.52158,14.95416,2025-07-10,8.3,13.1,9.4,13.3,8.2,18.6,4.4,5.2,0.7,10
154,Fürstenfeld,Steiermark,47.03083,16.08083,2025-07-10,18.1,22.5,19.2,23.0,9.4,-1.0,-1.0,-1.0,7.9,10
155,Oberndorf an der Melk,Niederösterreich,48.06239,15.21381,2025-07-10,15.5,18.9,15.7,20.5,14.9,10.4,-1.0,10.4,1.4,10
156,St.Johann im Pongau,Salzburg,47.31981,13.18672,2025-07-10,12.5,15.2,13.7,16.6,11.1,,0.0,1.1,,0
157,Kollerschlag,Oberösterreich,48.60278,13.83917,2025-07-10,11.6,14.0,15.2,18.4,10.8,7.3,0.2,1.1,3.6,10
158,Hohenau,Niederösterreich,48.605835,16.913055,2025-07-10,16.3,22.8,22.5,24.1,14.9,0.5,-1.0,0.5,5.9,10
159,Reichersberg,Oberösterreich,48.33111,13.37611,2025-07-10,13.2,18.6,16.6,21.1,12.7,5.4,1.3,2.0,2.7,10
160,Waizenkirchen,Oberösterreich,48.32656,13.86458,2025-07-10,,,,,,,,,2.6,10
161,Reichenau am Mühlkreis,Oberösterreich,48.45917,14.34556,2025-07-10,12.2,19.4,13.6,19.9,11.4,3.6,0.0,1.8,3.3,10
162,Aspach,Oberösterreich,48.18306,13.3,2025-07-10,14.0,15.9,16.0,19.3,13.0,6.4,0.3,4.9,2.0,10
163,Mondsee,Oberösterreich,47.85083,13.34722,2025-07-10,13.7,17.9,16.4,19.1,12.1,4.3,0.7,3.5,0.5,10
164,Berndorf,Niederösterreich,47.93917,16.10111,2025-07-10,18.4,20.0,16.2,20.7,14.7,0.9,-1.0,0.8,3.7,10
165,Abtenau,Salzburg,47.56667,13.34333,2025-07-10,11.3,15.4,14.0,16.7,10.5,4.6,3.0,2.1,0.4,10
166,Hall bei Admont,Steiermark,47.59444,14.49083,2025-07-10,11.7,17.2,14.1,17.9,10.9,5.1,4.1,2.2,1.3,10
167,Mürzzuschlag,Steiermark,47.60222,15.67278,2025-07-10,13.6,15.9,12.7,17.7,12.6,4.6,0.2,4.5,0.8,10
169,Pottschach,Niederösterreich,47.70083,16.00806,2025-07-10,16.4,16.8,17.3,19.6,15.6,0.7,-1.0,0.3,3.5,10
170,Aspang,Niederösterreich,47.575,16.10139,2025-07-10,16.0,18.7,14.0,19.7,12.2,1.9,-1.0,0.7,1.6,10
171,Dornbirn,Vorarlberg,47.4325,9.72556,2025-07-10,12.9,22.7,22.5,24.0,9.1,-1.0,-1.0,-1.0,12.6,10
172,Schoppernau,Vorarlberg,47.31139,10.01778,2025-07-10,8.2,20.2,17.9,21.1,3.8,-1.0,-1.0,-1.0,8.8,10
173,Schröcken,Vorarlberg,47.26167,10.08611,2025-07-10,8.7,18.1,14.7,18.7,5.4,-1.0,-1.0,-1.0,5.8,10
174,Mittelberg,Vorarlberg,47.32333,10.1525,2025-07-10,7.7,15.7,14.1,16.6,4.0,-1.0,-1.0,-1.0,4.2,10
175,Innsbruck Flughafen,Tirol,47.25999,11.35667,2025-07-10,11.6,21.5,19.5,22.3,10.4,-1.0,-1.0,-1.0,4.7,10
176,Hahnenkamm-Ehrenbachhöhe,Tirol,47.41831,12.35928,2025-07-10,4.9,9.4,8.5,11.2,4.0,,,,1.9,10
178,Hochfilzen,Tirol,47.47028,12.62111,2025-07-10,9.6,15.4,13.4,15.9,8.8,4.3,1.8,-1.0,0.7,10
179,Ramsau am Dachstein,Steiermark,47.42514,13.63428,2025-07-10,8.5,11.3,10.9,13.3,7.6,12.6,3.3,2.4,0.8,10
180,Rechnitz,Burgenland,47.30139,16.45417,2025-07-10,18.5,20.2,19.4,22.2,12.6,0.0,-1.0,0.0,6.2,10
181,Bludenz,Vorarlberg,47.14778,9.82944,2025-07-10,12.9,24.0,20.9,24.2,9.1,-1.0,-1.0,-1.0,12.7,10
182,Oberwölz,Steiermark,47.20206,14.28669,2025-07-10,13.8,17.0,15.0,18.1,11.9,2.3,0.0,-1.0,1.4,10
183,Güssing,Burgenland,47.0625,16.32186,2025-07-10,17.3,23.6,18.7,24.4,10.1,-1.0,-1.0,-1.0,6.1,10
184,Pitztaler Gletscher,Tirol,46.92706,10.87914,2025-07-10,-1.8,3.0,2.1,3.8,-3.3,-1.0,-1.0,-1.0,6.7,10
185,St.Jakob im Defereggental,Tirol,46.91694,12.35389,2025-07-10,7.9,15.2,13.3,17.9,3.4,0.0,-1.0,-1.0,2.4,10
187,Friesach,Kärnten,46.95861,14.40583,2025-07-10,13.0,19.7,18.1,20.0,11.1,0.6,-1.0,-1.0,1.4,10
188,Völkermarkt-Goldbrunnhof,Kärnten,46.670834,14.639167,2025-07-10,14.6,21.5,20.0,22.1,9.2,,-1.0,-1.0,3.2,0
189,Melk,Niederösterreich,48.20972,15.33139,2025-07-10,14.9,19.0,15.4,21.1,14.1,,,,1.6,10
192,Wachtberg bei Steyr,Niederösterreich,48.0475,14.46111,2025-07-10,13.6,17.4,17.5,19.8,13.5,6.4,0.2,1.2,0.8,10
193,Jauerling,Niederösterreich,48.33447,15.33911,2025-07-10,10.8,13.3,11.4,15.8,9.6,1.1,-1.0,1.1,1.4,10
195,Mittersill,Salzburg,47.279167,12.495833,2025-07-10,11.1,17.3,15.2,19.0,10.0,4.0,0.2,-1.0,0.8,10
196,Patscherkofel,Tirol,47.20889,11.46222,2025-07-10,2.4,6.4,5.8,7.5,1.5,-1.0,-1.0,-1.0,3.8,10
197,Seibersdorf,Niederösterreich,47.975,16.504444,2025-07-10,17.4,18.5,17.9,20.0,15.4,5.9,-1.0,5.9,4.0,10
198,Pörtschach,Kärnten,46.63083,14.16528,2025-07-10,14.0,22.6,20.4,24.3,13.1,0.3,-1.0,-1.0,4.2,10
199,Horn Wasserwerk,Niederösterreich,48.674999,15.643888,2025-07-10,16.3,17.0,16.6,22.2,11.4,1.8,-1.0,1.7,3.9,10
200,Gleisdorf,Steiermark,47.11556,15.70806,2025-07-10,17.7,21.5,18.5,21.9,10.3,0.6,-1.0,-1.0,8.4,10
202,Wörterberg,Burgenland,47.22619,16.09678,2025-07-10,17.2,19.5,15.9,21.3,13.6,0.2,-1.0,0.2,5.6,10
203,Fresach,Kärnten,46.71528,13.68528,2025-07-10,13.7,19.6,18.7,22.3,8.1,-1.0,-1.0,-1.0,4.1,10
204,Kremsmünster,Oberösterreich,48.055,14.13111,2025-07-10,13.5,16.1,17.5,20.6,13.4,7.9,0.6,4.1,2.6,10
205,Feuerkogel,Oberösterreich,47.81667,13.71778,2025-07-10,5.8,8.3,8.0,9.4,4.5,13.7,5.5,5.3,0.4,10
206,Loibl Tunnel,Kärnten,46.44389,14.24917,2025-07-10,11.8,15.6,14.3,17.5,7.5,0.1,-1.0,-1.0,6.2,10
210,St.Leonhard im Pitztal,Tirol,47.02722,10.86556,2025-07-10,4.1,17.0,13.7,17.6,3.2,-1.0,-1.0,-1.0,5.9,10
213,Sonnblick,Salzburg,47.05417,12.9575,2025-07-10,-2.8,-1.5,-1.6,-0.8,-3.9,4.4,0.8,0.2,0.2,0
214,Söll,Tirol,47.50306,12.20028,2025-07-10,11.4,18.6,17.2,20.2,10.0,1.7,0.6,-1.0,3.6,10
215,Gars am Kamp,Niederösterreich,48.59194,15.7,2025-07-10,16.5,18.8,15.8,21.6,13.3,6.6,-1.0,6.6,3.4,10
217,Kapfenberg Flugfeld,Steiermark,47.45833,15.33556,2025-07-10,14.0,18.6,15.2,19.5,12.2,0.2,0.1,0.2,1.3,10
218,Andau,Burgenland,47.77,17.03556,2025-07-10,17.7,20.7,19.2,22.0,15.7,-1.0,-1.0,-1.0,5.7,10
220,Gaschurn,Vorarlberg,46.980278,10.031667,2025-07-10,6.3,19.5,16.4,20.5,5.2,-1.0,-1.0,-1.0,9.6,10
221,Stockerau,Niederösterreich,48.409833,16.190861,2025-07-10,17.0,20.0,16.4,21.9,14.2,0.6,-1.0,0.3,2.4,10
222,Wolkersdorf,Niederösterreich,48.388056,16.508889,2025-07-10,16.5,19.6,19.6,21.7,14.8,0.2,-1.0,0.1,3.8,10
500,Litschau,Niederösterreich,48.95464,15.03831,2025-07-10,12.8,16.0,16.1,19.4,11.6,18.2,0.5,5.2,2.6,10
726,Raabs an der Thaya,Niederösterreich,48.84806,15.50194,2025-07-10,14.9,16.0,17.0,19.9,11.9,3.2,-1.0,2.7,3.3,10
901,Retz,Niederösterreich,48.75361,15.95,2025-07-10,,,,,,0.2,-1.0,0.2,,0
